,chi2,gain,indexes,noise,noise-pe,ntot,pedestal,pes
120,4.70813542545,16.8074204827,828,1.74151429454,1.91092551261,29135.5865639,-0.0809361355739,2.19463103404
121,6.12738164119,17.1675692412,864,2.05614923461,1.96358341742,28922.1318808,-0.113016672169,1.83752629052
122,6.66842479059,15.8965340321,690,1.9049733092,1.7932800178,29164.2177899,-0.1389094258,2.80561878367
123,4.98304665934,16.1045320136,1097,2.62874555536,1.64560172358,29129.3863439,0.0856617438787,2.62115931357
124,4.30140455286,15.429832503,591,3.03028058926,1.68409240715,29325.05015,0.651130192463,2.72351708131
125,9.63084581552,15.8494719014,1645,1.35295969695,1.4498395773,28397.4919538,-0.157670720432,0.431556706894
126,12.0421114506,15.0027393012,1663,1.46726119096,1.58712463214,28030.4501965,0.0572651543309,0.632372086832
127,8.27381964117,15.5623690973,984,1.55975898175,1.66358703093,28902.8286736,-0.160949750185,2.74956934612
128,3.90914441284,16.542325136,325,3.22384334829,1.83457833278,28927.540667,-0.0412283778754,2.46170108436
129,6.2895979382,16.7858066849,808,1.59179261324,1.90196644789,28983.8672739,-0.241864280809,2.5526240414
130,12.7542510417,17.2314339961,1777,1.79463917725,2.89109795616,27977.9836008,-0.157446226349,0.221360748988
131,5.96947420486,15.8478950777,827,1.61198538293,1.76660883774,29061.2253076,-0.04451651346,2.17568365753
132,3.83351624869,17.3185499383,1055,3.02161295828,2.04095473837,28535.9509419,1.14035037707,3.00422101228
133,4.35824037324,15.5140568304,470,1.85414419795,1.56650908295,29234.5538603,-0.0253354237146,1.96197230446
134,5.37600318467,16.8157215321,1417,1.88966225852,1.85825304551,29116.4455391,-0.186273409004,2.60999277691
135,4.53357510868,16.4352575656,1035,2.59029747096,1.81992466056,29049.5024828,1.1350378406,2.72862973459
136,7.45072583184,16.0718390307,899,1.65249675244,1.75697743906,28815.7709937,-0.107979044933,2.22029782507
137,6.54694946375,15.2698776528,1690,1.59007442499,1.7082461995,29108.4300149,-0.215863524722,2.5350246713
138,5.4102282127,15.4356189923,1405,1.77113625665,1.82009097017,29306.1446519,0.0221477119642,2.6547895917
139,10.1282731625,16.2864321224,189,1.44159830246,1.72224833017,28307.9996178,0.282306544715,1.48238452045
140,4.17747463746,16.1292973156,380,2.34621225233,1.77346000646,29350.0247557,-0.0733618048147,2.65394358535
141,6.74583405995,16.2855816487,1682,1.56485115951,1.7186588378,28926.688725,0.0306313143846,2.28832012116
142,5.42349410545,15.7148684598,743,1.59116541014,1.7140687104,29315.2155719,0.402582096067,2.64863862718
143,7.10032071657,14.6672999308,1701,1.40099142353,1.32190258065,28800.4615691,0.125616874457,0.40780341348
144,5.99004716988,16.9198019178,612,1.55292514076,1.81762601277,29045.536451,0.000220217221506,3.00999027404
145,3.97816352151,16.6160614314,1149,2.19256728871,1.74227307847,29311.5235511,0.805698588718,2.56028131765
146,4.36757039846,15.4431709116,463,2.38573450793,1.75167021891,29119.2513347,-0.0202920463789,0.417418078649
147,4.36469251219,15.9870442232,1374,2.29594977652,1.84338035027,29459.6064246,-0.0476482689897,2.72061732439
148,13.1355650909,16.1577417898,185,1.45002603926,1.4911317748,27808.2063143,0.259276481931,0.639672011059
149,5.01348288702,15.1459102057,360,2.28755352931,1.62979587624,29358.3751931,-0.102514826135,2.55250437735
150,8.6657122566,16.8773688367,121,1.68388944561,1.66897152602,28483.5292307,0.784053438588,2.00662599562
151,4.41970404672,16.3192498137,1326,2.01404346231,1.85745628485,29228.4359175,-0.122202804657,0.585170268517
152,6.27049158399,16.0726185275,32,1.7119597413,1.60986865994,28965.7765426,-0.0956649466169,2.1943752019
153,2.67721758172,16.9595230532,1295,3.83052851731,1.98155966118,28955.6556076,-0.705505618116,2.60565541626
154,13.9755865992,17.3555847678,230,1.34843481493,1.85465858106,27723.0724978,0.751249088142,1.05853238197
